Gender,Residential_Pincode,Annual_Income_INR,CIBIL_Score,Employment_Gap,Device_OS,Loan_Status
Female,570001,1588536.0,822.0,True,iOS,1
Male,560001,2618193.0,701.0,False,Android,1
Female,570001,2469698.0,623.0,False,Android,1
Female,560008,,775.0,False,iOS,1
Female,580023,577120.0,,True,iOS,0
Female,580023,2616579.0,558.0,True,iOS,0
Female,560067,1033252.0,,False,Android,0
Female,582101,1769181.0,336.0,False,Android,0
Female,560001,1589373.0,380.0,False,Android,1
Male,560001,1204390.0,510.0,True,Android,0
Female,560067,2437663.0,785.0,False,Android,1
Male,581101,1939763.0,771.0,True,iOS,1
Male,580023,1318383.0,300.0,True,Android,0
Female,560001,2043278.0,858.0,True,iOS,0
Male,580023,2733247.0,375.0,False,Android,1
Female,560038,1146387.0,,False,Android,0
Male,560038,2752886.0,405.0,True,iOS,0
Male,582101,1753300.0,776.0,True,Android,1
Female,560001,3085540.0,514.0,True,iOS,0
Male,580023,517329.0,828.0,False,Android,1
Male,570001,1350828.0,702.0,False,iOS,0
Female,582101,2857094.0,,False,iOS,0
Male,581101,2992207.0,492.0,False,Android,1
Female,570001,1514274.0,495.0,True,iOS,0
Male,570001,2034800.0,539.0,False,Android,0
Female,560038,3439372.0,634.0,False,iOS,0
Female,580023,2321672.0,372.0,True,iOS,0
Female,560067,2400417.0,837.0,False,Android,0
Female,560001,841945.0,701.0,False,Android,1
Female,580023,3281128.0,675.0,False,Android,0
Female,560001,1808766.0,370.0,False,Android,0
Male,560067,,457.0,True,iOS,0
Female,560067,1802425.0,892.0,False,iOS,1
Female,582101,2093178.0,320.0,False,iOS,0
Female,582101,1753267.0,835.0,True,iOS,1
Male,560038,,414.0,True,Android,0
Male,582101,1534239.0,879.0,False,Android,0
Male,560008,3403253.0,729.0,True,iOS,1
Female,560067,1549994.0,425.0,True,iOS,0
Male,560067,1558366.0,506.0,False,iOS,0
Male,560008,1874307.0,815.0,True,Android,1
Male,580023,2141871.0,569.0,False,Android,0
Female,570001,1030923.0,870.0,False,iOS,0
Male,580023,2031385.0,659.0,True,iOS,0
Female,581101,2090541.0,795.0,False,Android,0
Female,560067,792348.0,765.0,True,Android,0
Female,581101,,845.0,True,iOS,1
Male,560008,2083736.0,856.0,False,iOS,0
Female,580023,1057460.0,823.0,False,Android,0
Male,560001,3158639.0,353.0,True,iOS,1
Male,581101,2048858.0,327.0,False,iOS,0
Female,581101,2291940.0,787.0,False,Android,0
Male,580023,1011600.0,318.0,True,iOS,0
Male,560008,1004036.0,594.0,True,Android,0
Female,560067,2570608.0,445.0,False,iOS,1
Female,560001,3026446.0,,False,iOS,1
Male,560038,2758097.0,305.0,False,iOS,1
Male,560001,2939930.0,655.0,False,iOS,0
Male,560008,320462.0,402.0,True,iOS,0
Male,560001,1092013.0,625.0,True,Android,0
Female,570001,1465633.0,727.0,False,Android,0
Male,582101,2998348.0,865.0,False,iOS,0
Female,581101,2136672.0,599.0,False,Android,0
Male,582101,1532380.0,884.0,False,Android,0
Female,582101,2921457.0,713.0,True,iOS,1
Male,580023,2416211.0,624.0,True,iOS,0
Male,570001,2598053.0,851.0,False,Android,1
Male,581101,2687106.0,869.0,False,iOS,0
Male,560001,2956894.0,864.0,True,Android,1
Male,560067,1483088.0,358.0,True,Android,0
Female,560067,3262644.0,497.0,False,iOS,1
Female,560008,3343512.0,679.0,False,Android,0
Male,581101,2382999.0,378.0,False,Android,0
Male,560038,3039144.0,570.0,False,iOS,0
Male,560008,1376994.0,745.0,True,Android,1
Female,560008,770995.0,738.0,False,iOS,1
Female,560067,634074.0,766.0,False,Android,1
Male,560038,1245864.0,474.0,False,Android,0
Male,560038,966853.0,423.0,False,Android,0
Male,582101,2818066.0,394.0,True,Android,0
Female,560008,,515.0,True,iOS,0
Male,580023,1007691.0,441.0,True,Android,0
Male,570001,875911.0,383.0,False,iOS,0
Male,580023,2375729.0,665.0,True,iOS,0
Male,570001,2566997.0,745.0,False,Android,0
Male,560067,1359206.0,760.0,False,iOS,1
Female,560067,3177265.0,463.0,False,iOS,0
Female,582101,1650081.0,577.0,False,Android,0
Female,560008,3179536.0,375.0,True,iOS,0
Male,560001,2789100.0,341.0,True,Android,0
Male,581101,2694562.0,559.0,False,Android,0
Male,560001,1695279.0,634.0,False,iOS,1
Male,580023,340072.0,563.0,False,Android,0
Male,560038,3276906.0,354.0,False,iOS,0
Female,580023,3115830.0,676.0,True,iOS,0
Male,560008,330805.0,422.0,True,Android,0
Female,560038,2618703.0,322.0,False,Android,0
Female,560001,2194325.0,360.0,True,iOS,0
Male,560067,943647.0,318.0,True,iOS,1
Male,570001,,782.0,False,Android,0
Female,580023,3222775.0,360.0,False,iOS,0
Female,560008,1550484.0,786.0,False,iOS,1
Female,560038,2670242.0,792.0,True,iOS,0
Female,560067,645340.0,826.0,False,Android,0
Female,582101,1303758.0,339.0,True,Android,0
Female,560038,1982546.0,380.0,True,iOS,0
Male,560038,3389741.0,716.0,False,iOS,1
Male,581101,2616424.0,,True,iOS,0
Female,582101,1452080.0,572.0,True,iOS,0
Male,560067,1839982.0,571.0,True,iOS,0
Female,582101,856517.0,358.0,True,Android,0
Female,582101,794099.0,458.0,True,Android,0
Male,560001,758606.0,621.0,True,Android,0
Female,560038,1747962.0,721.0,False,Android,0
Female,570001,1988641.0,716.0,False,iOS,0
Female,560001,1261693.0,699.0,False,iOS,1
Male,570001,2653418.0,884.0,True,Android,0
Female,560067,576636.0,615.0,True,Android,0
Female,570001,644990.0,832.0,True,iOS,1
Female,580023,1391728.0,828.0,True,iOS,0
Male,582101,1638994.0,829.0,False,iOS,1
Male,581101,3382781.0,723.0,True,Android,1
Male,560001,1727503.0,477.0,False,iOS,0
Male,560038,2065715.0,316.0,True,Android,1
Male,560001,364502.0,671.0,False,Android,0
Male,580023,1906412.0,782.0,True,Android,1
Female,581101,2452682.0,809.0,True,Android,0
Male,560038,3308768.0,396.0,False,Android,0
Male,582101,808864.0,368.0,True,Android,0
Female,570001,1137903.0,861.0,False,Android,0
Male,582101,2948512.0,873.0,True,Android,0
Male,560001,2381120.0,801.0,False,iOS,1
Male,580023,1839142.0,466.0,False,iOS,0
Male,560008,2085592.0,462.0,True,Android,1
Female,580023,2677197.0,645.0,False,Android,0
Female,560001,2143171.0,,False,Android,0
Female,560008,2206111.0,483.0,True,Android,1
Female,570001,1811192.0,650.0,True,iOS,0
Female,560038,1020440.0,621.0,False,iOS,0
Male,560008,1781316.0,860.0,True,Android,1
Male,560067,2002722.0,329.0,True,Android,0
Male,581101,3026580.0,638.0,True,iOS,0
Female,560008,2366390.0,819.0,True,iOS,0
Male,560001,602718.0,359.0,True,Android,0
Female,560038,2968996.0,549.0,True,iOS,0
Male,560038,3293613.0,433.0,False,iOS,0
Female,560001,640776.0,759.0,True,Android,0
Female,560038,662573.0,611.0,False,Android,0
Male,560038,1999396.0,693.0,False,Android,0
Female,560001,1630364.0,331.0,False,Android,0
Female,580023,697506.0,613.0,True,Android,0
Female,580023,2337052.0,310.0,False,iOS,0
Female,582101,1650700.0,349.0,False,Android,1
Female,580023,1927862.0,817.0,True,Android,0
Female,581101,1482464.0,412.0,True,iOS,0
Male,581101,587615.0,471.0,False,iOS,0
Female,560038,3166644.0,609.0,True,iOS,0
Male,560001,1148759.0,754.0,True,Android,1
Male,581101,408546.0,484.0,True,iOS,1
Male,560067,,333.0,True,Android,0
Male,560038,1622627.0,512.0,True,iOS,0
Female,560008,1901434.0,391.0,True,Android,0
Female,560067,750717.0,563.0,True,iOS,0
Female,580023,1733241.0,736.0,True,iOS,1
Female,570001,1374438.0,398.0,False,iOS,0
Female,560038,920593.0,574.0,True,iOS,1
Female,581101,3128733.0,352.0,False,iOS,0
Female,580023,892151.0,610.0,True,Android,1
Female,582101,1712613.0,345.0,False,Android,0
Female,580023,1873600.0,554.0,False,iOS,0
Female,581101,2446635.0,,False,Android,1
Male,560038,1570647.0,,True,Android,1
Female,570001,1152760.0,822.0,False,Android,0
Male,570001,3118857.0,444.0,False,iOS,0
Female,560067,1605418.0,396.0,True,Android,1
Male,582101,1839458.0,654.0,True,iOS,0
Female,581101,2862109.0,312.0,False,Android,0
Male,560001,3105574.0,452.0,False,Android,0
Male,580023,2629671.0,457.0,False,Android,1
Male,560038,2411821.0,869.0,False,iOS,1
Female,560067,,718.0,True,iOS,1
Female,560008,2837355.0,574.0,True,Android,0
Male,570001,1205381.0,891.0,True,iOS,1
Male,581101,2476689.0,818.0,False,iOS,0
Female,560001,1531501.0,756.0,True,Android,0
Female,560067,2443287.0,797.0,True,Android,1
Female,570001,1266140.0,726.0,True,Android,1
Female,582101,1518653.0,404.0,False,Android,0
Female,570001,1853722.0,396.0,True,iOS,0
Male,580023,1779769.0,854.0,True,iOS,0
Male,581101,2010566.0,,False,Android,0
Female,581101,3358393.0,563.0,True,iOS,0
Male,582101,1775417.0,,True,iOS,1
Male,581101,1727132.0,770.0,True,iOS,0
Female,570001,2459476.0,657.0,True,iOS,1
Male,581101,2610783.0,846.0,False,Android,0
Male,581101,1228598.0,382.0,True,Android,0
Male,560038,2351127.0,302.0,False,Android,0
Male,580023,3320557.0,306.0,False,iOS,0
Female,560038,1529674.0,866.0,False,Android,0
Male,560001,2414317.0,720.0,True,iOS,1
Male,582101,2261025.0,417.0,False,Android,0
Male,580023,1485142.0,807.0,True,iOS,0
Female,560008,1553873.0,,False,Android,0
Female,560008,3069148.0,515.0,False,Android,0
Female,570001,3240264.0,,True,Android,1
Male,560038,1526762.0,400.0,False,Android,1
Female,560001,2022586.0,701.0,True,Android,1
Female,580023,3122975.0,773.0,True,Android,0
Female,560067,465841.0,742.0,False,iOS,0
Male,560038,2541070.0,,False,iOS,1
Female,570001,2031170.0,729.0,False,Android,0
Male,560038,438113.0,337.0,False,iOS,0
Female,560001,1760629.0,768.0,False,iOS,1
Male,560038,2564854.0,,False,iOS,1
Male,560067,471676.0,669.0,False,Android,0
Male,560038,3247275.0,317.0,True,iOS,0
Male,581101,420956.0,547.0,False,Android,1
Male,560038,2352526.0,488.0,False,Android,0
Male,581101,1683151.0,826.0,True,iOS,0
Female,581101,1067963.0,425.0,False,Android,0
Female,580023,2579931.0,310.0,True,iOS,1
Male,582101,1004705.0,554.0,False,iOS,0
Male,560008,2382599.0,553.0,True,Android,1
Male,581101,1204245.0,856.0,False,Android,0
Female,580023,1517607.0,471.0,True,iOS,0
Female,580023,1670649.0,656.0,False,Android,0
Male,582101,3011580.0,607.0,True,Android,0
Male,560067,2474226.0,749.0,True,Android,1
Female,570001,1045898.0,407.0,False,Android,0
Female,582101,2557950.0,304.0,False,Android,0
Female,582101,785217.0,308.0,True,iOS,0
Male,560008,393265.0,345.0,False,iOS,1
Female,580023,893852.0,608.0,True,Android,0
Male,560067,3230576.0,377.0,False,Android,1
Female,560008,633567.0,470.0,False,Android,0
Male,570001,3428047.0,,False,iOS,1
Female,580023,1787037.0,420.0,True,Android,0
Female,560008,3050607.0,558.0,True,Android,0
Female,582101,2062168.0,897.0,False,Android,0
Male,582101,1248968.0,451.0,True,Android,0
Male,581101,2257479.0,579.0,False,Android,0
Male,582101,1195428.0,,True,Android,1
Male,560067,1679246.0,435.0,False,Android,0
Male,582101,2512340.0,811.0,False,iOS,0
Male,582101,1455217.0,804.0,False,iOS,0
Male,580023,,773.0,False,Android,0
Female,580023,2685870.0,646.0,False,iOS,1
Female,580023,2361441.0,439.0,False,iOS,0
Female,560008,2265338.0,614.0,True,iOS,0
Male,581101,2496584.0,344.0,False,iOS,0
Male,581101,888472.0,873.0,False,iOS,0
Male,580023,307778.0,309.0,True,iOS,0
Male,560067,2708839.0,882.0,True,Android,1
Female,560001,,459.0,False,iOS,0
Female,581101,2040284.0,375.0,True,Android,0
Female,582101,3219024.0,378.0,True,iOS,0
Male,560001,1129690.0,540.0,True,Android,0
Male,560001,2299971.0,455.0,False,iOS,1
Male,560001,1090879.0,589.0,False,Android,0
Male,580023,2093406.0,900.0,False,iOS,1
Male,560038,2565166.0,568.0,True,Android,0
Male,560008,1894523.0,877.0,False,Android,0
Female,560038,398283.0,733.0,True,Android,1
Male,570001,482114.0,761.0,True,iOS,0
Female,570001,1357254.0,596.0,False,iOS,0
Male,582101,2543620.0,756.0,False,iOS,1
Female,560038,3325216.0,827.0,False,Android,0
Male,560008,649051.0,713.0,False,Android,1
Male,560067,3432496.0,,True,iOS,0
Female,580023,2087750.0,541.0,False,iOS,0
Female,560067,1828093.0,623.0,True,Android,0
Female,560008,2188029.0,477.0,False,iOS,1
Male,580023,1719904.0,847.0,False,iOS,0
Female,582101,2658789.0,436.0,True,iOS,0
Male,580023,1282181.0,541.0,False,iOS,0
Female,560038,927431.0,486.0,False,Android,0
Male,581101,1875762.0,851.0,False,iOS,0
Female,581101,2732431.0,785.0,True,iOS,0
Male,560008,1598557.0,747.0,True,Android,1
Male,580023,1983329.0,775.0,False,Android,1
Male,560001,1362529.0,807.0,False,Android,1
Female,582101,1662241.0,830.0,True,iOS,0
Female,560001,1257052.0,,False,Android,0
Male,570001,861358.0,,True,Android,0
Female,560001,1286725.0,709.0,True,iOS,1
Female,570001,2657658.0,641.0,True,Android,1
Female,560067,841499.0,771.0,False,iOS,0
Male,560067,740053.0,594.0,False,iOS,0
Male,570001,2435870.0,432.0,False,iOS,0
Male,560008,2450582.0,747.0,False,iOS,1
Male,560067,2715512.0,829.0,False,Android,0
Female,560001,1234053.0,,True,iOS,0
Female,580023,1015910.0,849.0,True,iOS,0
Female,582101,890765.0,779.0,True,Android,0
Female,582101,2032555.0,850.0,False,iOS,0
Female,560008,393382.0,527.0,False,iOS,0
Male,581101,2638375.0,339.0,True,iOS,0
Female,560008,1284036.0,,True,iOS,0
Male,560008,2227747.0,777.0,True,iOS,1
Female,560067,1255490.0,618.0,True,iOS,0
Female,570001,729801.0,446.0,True,iOS,1
Male,560001,2558160.0,633.0,True,Android,0
Male,570001,1492062.0,860.0,False,iOS,0
Female,580023,402283.0,882.0,True,iOS,0
Female,570001,814082.0,884.0,True,iOS,0
Female,560008,2377741.0,644.0,False,Android,0
Male,560038,3415722.0,467.0,False,iOS,0
Female,580023,1600839.0,393.0,False,Android,0
Female,560001,1610102.0,455.0,False,iOS,0
Female,582101,3256767.0,416.0,False,iOS,0
Male,560038,475895.0,338.0,False,iOS,1
Male,560008,1221939.0,536.0,False,Android,1
Male,580023,3212392.0,448.0,True,Android,0
Female,580023,778555.0,747.0,True,iOS,0
Male,580023,2025002.0,543.0,False,iOS,1
Male,560067,956029.0,300.0,False,iOS,0
Male,560001,2997111.0,878.0,False,iOS,1
Male,560001,2345558.0,309.0,True,Android,0
Male,582101,2449144.0,621.0,False,Android,1
Male,580023,,744.0,False,Android,1
Female,581101,1781885.0,608.0,False,iOS,0
Female,560008,3122399.0,785.0,True,Android,0
Male,560001,1976210.0,325.0,True,iOS,1
Female,580023,2425511.0,356.0,True,iOS,1
Male,560008,2830077.0,796.0,False,iOS,1
Male,560008,1059781.0,658.0,False,iOS,0
Female,581101,511133.0,867.0,False,Android,1
Female,560038,1531938.0,639.0,True,Android,1
Female,582101,3129296.0,809.0,False,Android,1
Female,560038,1356899.0,475.0,False,Android,0
Female,581101,1892446.0,620.0,True,iOS,0
Male,560008,545022.0,781.0,False,iOS,1
Male,560008,1588661.0,731.0,False,Android,1
Female,581101,1700884.0,527.0,False,iOS,1
Male,581101,2976402.0,588.0,True,Android,0
Male,560008,3172343.0,339.0,True,Android,0
Male,580023,2561561.0,465.0,True,iOS,0
Male,560008,,339.0,True,Android,0
Male,581101,2143474.0,807.0,False,Android,0
Female,580023,2028215.0,,False,Android,0
Female,560001,3204905.0,503.0,False,iOS,0
Female,580023,2489635.0,401.0,False,iOS,1
Male,560008,1062880.0,561.0,True,Android,0
Male,570001,,695.0,False,Android,0
Female,582101,3494360.0,570.0,False,Android,0
Female,580023,2083918.0,815.0,True,Android,0
Female,560008,1604211.0,828.0,False,Android,0
Male,580023,642352.0,,True,iOS,1
Female,560001,1993583.0,590.0,False,iOS,1
Female,560001,3291656.0,478.0,True,Android,0
Female,560067,2456747.0,814.0,False,iOS,1
Female,560001,828098.0,634.0,False,Android,0
Male,582101,519447.0,870.0,False,iOS,0
Male,570001,3497747.0,479.0,True,Android,0
Male,570001,2398694.0,446.0,True,Android,0
Female,560008,964637.0,648.0,False,iOS,1
Female,570001,1476893.0,557.0,False,iOS,0
Male,570001,2380772.0,655.0,False,Android,0
Female,560001,596818.0,576.0,False,iOS,0
Male,560038,2809314.0,768.0,False,Android,1
Male,582101,384846.0,617.0,True,iOS,0
Female,581101,2602590.0,307.0,False,Android,0
Female,580023,595016.0,453.0,False,Android,1
Female,570001,2153927.0,628.0,False,Android,0
Female,560008,3240589.0,520.0,False,iOS,0
Male,560001,3342530.0,630.0,True,Android,0
Male,560067,938154.0,563.0,True,Android,1
Female,580023,581050.0,613.0,True,iOS,0
Male,560008,3119036.0,622.0,True,Android,0
Male,570001,1306959.0,681.0,False,Android,1
Female,582101,2674319.0,840.0,True,Android,0
Male,560001,1904775.0,412.0,True,iOS,1
Female,582101,747079.0,579.0,True,Android,0
Male,581101,854142.0,733.0,True,Android,0
Male,560008,2124637.0,665.0,False,iOS,1
Male,570001,2748413.0,418.0,False,Android,0
Female,560008,1072664.0,641.0,False,Android,0
Female,582101,375650.0,500.0,True,Android,0
Male,582101,1406332.0,597.0,False,Android,0
Female,560008,,543.0,True,iOS,1
Female,582101,2505302.0,772.0,True,iOS,0
Female,560038,3450301.0,428.0,False,Android,0
Male,560038,778117.0,796.0,True,Android,1
Male,580023,,601.0,True,Android,0
Male,570001,495115.0,806.0,True,Android,0
Male,560067,2775603.0,432.0,True,Android,0
Female,581101,2451768.0,,False,iOS,0
